Body,mass,x,y,vx,vy
4,34.000000,4.520000,8.680000,0.100000,0.900000
1,10.000000,5.250000,1.575000,1.000000,0.300000
2,40.000000,4.625000,12.500000,0.500000,2.000000
3,30.000000,11.925000,14.025000,1.700000,2.100000
4,34.000000,4.525000,8.725000,0.100000,0.900000
1,10.000000,5.300000,1.590000,1.000000,0.300000
2,40.000000,4.650000,12.600000,0.500000,2.000000
3,30.000000,12.010000,14.130000,1.700000,2.100000
4,34.000000,4.530000,8.770000,0.100000,0.900000
1,10.000000,5.350000,1.605000,1.000000,0.300000
2,40.000000,4.675000,12.700000,0.500000,2.000000
3,30.000000,12.095000,14.235000,1.700000,2.100000
4,34.000000,4.535000,8.815000,0.100000,0.900000
1,10.000000,5.400000,1.620000,1.000000,0.300000
2,40.000000,4.700000,12.800000,0.500000,2.000000
3,30.000000,12.180000,14.340000,1.700000,2.100000
4,34.000000,4.540000,8.860000,0.100000,0.900000
1,10.000000,5.450000,1.635000,1.000000,0.300000
2,40.000000,4.725000,12.900000,0.500000,2.000000
3,30.000000,12.265000,14.445000,1.700000,2.100000
4,34.000000,4.545000,8.905000,0.100000,0.900000
1,10.000000,5.500000,1.650000,1.000000,0.300000
2,40.000000,4.750000,13.000000,0.500000,2.000000
3,30.000000,12.350000,14.550000,1.700000,2.100000
4,34.000000,4.550000,8.950000,0.100000,0.900000
1,10.000000,5.550000,1.665000,1.000000,0.300000
2,40.000000,4.775000,13.100000,0.500000,2.000000
3,30.000000,12.435000,14.655000,1.700000,2.100000
4,34.000000,4.555000,8.995000,0.100000,0.900000
1,10.000000,5.600000,1.680000,1.000000,0.300000
2,40.000000,4.800000,13.200000,0.500000,2.000000
3,30.000000,12.520000,14.760000,1.700000,2.100000
4,34.000000,4.560000,9.040000,0.100000,0.900000
1,10.000000,5.650000,1.695000,1.000000,0.300000
2,40.000000,4.825000,13.300000,0.500000,2.000000
3,30.000000,12.605000,14.865000,1.700000,2.100000
4,34.000000,4.565000,9.085000,0.100000,0.900000
1,10.000000,5.700000,1.710000,1.000000,0.300000
2,40.000000,4.850000,13.400000,0.500000,2.000000
3,30.000000,12.690000,14.970000,1.700000,2.100000
4,34.000000,4.570000,9.130000,0.100000,0.900000
1,10.000000,5.750000,1.725000,1.000000,0.300000
2,40.000000,4.875000,13.500000,0.500000,2.000000
3,30.000000,12.775000,15.075000,1.700000,2.100000
4,34.000000,4.575000,9.175000,0.100000,0.900000
1,10.000000,5.800000,1.740000,1.000000,0.300000
2,40.000000,4.900000,13.600000,0.500000,2.000000
3,30.000000,12.860000,15.180000,1.700000,2.100000
4,34.000000,4.580000,9.220000,0.100000,0.900000
1,10.000000,5.850000,1.755000,1.000000,0.300000
