n_bodies,n_threads,n_retries,mean_comp_time,hyper_threading,speed_up,efficiency
1680,60,21,14.542666866666,True,4.052242482858523,0.0675373747143087
1680,120,21,14.781610477538,True,3.9867382908454467,0.033222819090378726
1800,1,5,66.055593252182,True,1.0,1.0
1800,2,8,40.868381530046,True,1.6163006896570797,0.8081503448285399
1800,4,13,25.199909888781,True,2.6212630737060674,0.6553157684265168
1800,6,14,21.717912571771,True,3.0415258848606492,0.5069209808101082
1800,12,15,21.035164562861,True,3.1402460891039383,0.2616871740919949
1800,24,17,18.448629449396,True,3.5805149338258637,0.14918812224274433
1800,30,18,16.980871333016,True,3.8900002218231142,0.12966667406077048
1800,40,18,17.054750270314,True,3.873149251980565,0.09682873129951412
1800,60,18,16.852501908938,True,3.9196312576679397,0.065327187627799
1800,120,18,16.823507746061,True,3.9263864735728515,0.03271988727977376
1920,1,4,75.778793036938,True,1.0,1.0
1920,2,7,48.111385856356,True,1.5750698444477846,0.7875349222238923
1920,4,11,28.511769554832,True,2.657807432513268,0.664451858128317
1920,6,13,24.439151305419,True,3.1007129539778755,0.5167854923296459
1920,12,14,21.940778868539,True,3.4537877388481233,0.2878156449040103
1920,24,16,19.829881936312,True,3.8214444886922756,0.15922685369551148
1920,30,16,18.7410184443,True,4.043472517897542,0.1347824172632514
1920,40,17,18.64584220157,True,4.064112107017474,0.10160280267543684
1920,60,17,18.524451536291,True,4.090744219254255,0.06817907032090424
1920,120,17,18.709256410599,True,4.050336976193692,0.03375280813494743
2040,1,4,93.307273447514,True,1.0,1.0
2040,2,6,54.937892993291,True,1.6984137607699783,0.8492068803849891
2040,4,10,32.332579541206,True,2.88585924078836,0.72146481019709
2040,6,11,29.779890450564,True,3.1332309164269225,0.5222051527378204
2040,12,12,26.290133158366,True,3.5491365861652904,0.29576138218044085
2040,24,13,23.734141368132,True,3.931352392330415,0.16380634968043395
2040,30,14,22.397347007479,True,4.165996687748621,0.1388665562582874
